ELSI Export,,,,,,,,,,,
,,,,,,,,,,,
National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/,,,,,,,,,,,
,,,,,,,,,,,
This is a Public School based table with the following filters applied: State(s) (All Years): OHIO,,,,,,,,,,,
,,,,,,,,,,,
School Name,State Name [Public School] Latest available year,Agency Name [Public School] 2018-19,County Name [Public School] 2018-19,Location ZIP [Public School] 2018-19,Location City [Public School] 2018-19,Total Students All Grades (Excludes AE) [Public School] 2018-19,Free Lunch Eligible [Public School] 2018-19,Reduced-price Lunch Eligible Students [Public School] 2018-19,Free and Reduced Lunch Students [Public School] 2018-19,Full-Time Equivalent (FTE) Teachers [Public School] 2018-19,Pupil/Teacher Ratio [Public School] 2018-19
BELLEFONTAINE HIGH SCHOOL,Ohio,Bellefontaine City,Logan County,43311,Bellefontaine,685,202,50,252,49.74,13.77
BELLEFONTAINE INTERMEDIATE SCHOOL,Ohio,Bellefontaine City,Logan County,43311,Bellefontaine,563,246,56,302,29.2,19.28
BELLEFONTAINE MIDDLE SCHOOL,Ohio,Bellefontaine City,Logan County,43311,Bellefontaine,561,215,54,269,32.56,17.23
BELLEVUE ELEMENTARY SCHOOL,Ohio,Bellevue City,Erie County,44811,Bellevue,881,302,72,374,42,20.98
BELLEVUE HIGH SCHOOL,Ohio,Bellevue City,Sandusky County,44811,Bellevue,608,151,50,201,31.9,19.06
BELLEVUE MIDDLE SCHOOL,Ohio,Bellevue City,Huron County,44811,Bellevue,426,141,36,177,24,17.75
BELLFLOWER ELEMENTARY SCHOOL,Ohio,Mentor Exempted Village,Lake County,44060,Mentor,502,88,19,107,25.8,19.46
BELLVILLE ELEMENTARY SCHOOL,Ohio,Clear Fork Valley Local,Richland County,44813,Bellville,414,92,25,117,27.16,15.24
BELMONT CAREER CENTER,Ohio,Belmont-Harrison,Belmont County,43950,Saint Clairsville,0,–,–,–,35,0
BELMONT HIGH SCHOOL,Ohio,Dayton City,Montgomery County,45420,Dayton,893,–,–,–,63,14.17
BELPRE ELEMENTARY SCHOOL,Ohio,Belpre City,Washington County,45714,Belpre,556,273,33,306,30,18.53
BELPRE HIGH SCHOOL,Ohio,Belpre City,Washington County,45714,Belpre,405,183,44,227,22.55,17.96
BEN FRANKLIN ELEMENTARY SCHOOL,Ohio,Newark City,Licking County,43055,Newark,384,236,16,252,20.4,18.82
BENJAMIN FRANKLIN,Ohio,Cleveland Municipal,Cuyahoga County,44109,Cleveland,620,–,–,–,36.02,17.21
BENJAMIN HARRISON ELEMENTARY SCHOOL,Ohio,Marion City,Marion County,43302,Marion,498,–,–,–,24.1,20.66
BENJAMIN LOGAN ELEMENTARY SCHOOL,Ohio,Benjamin Logan Local,Logan County,43311,Bellefontaine,624,169,35,204,33,18.91
BENJAMIN LOGAN HIGH SCHOOL,Ohio,Benjamin Logan Local,Logan County,43311,Bellefontaine,496,105,41,146,33,15.03
BENJAMIN LOGAN MIDDLE SCHOOL,Ohio,Benjamin Logan Local,Logan County,43311,Bellefontaine,588,115,47,162,30,19.6
BENNETT VENTURE ACADEMY,Ohio,Bennett Venture Academy,Lucas County,43612,Toledo,687,–,–,–,34,20.21
BEREA-MIDPARK HIGH SCHOOL,Ohio,Berea City,Cuyahoga County,44017,Berea,1927,565,129,694,94.8,20.33
BEREA-MIDPARK MIDDLE SCHOOL,Ohio,Berea City,Cuyahoga County,44130,Middleburg Heights,1808,–,–,–,100.8,17.94
BERKSHIRE ELEMENTARY,OHIO,Berkshire Local,Geauga County,44086,Thompson,197,48,13,61,14.54,13.55
BERKSHIRE HIGH SCHOOL,Ohio,Berkshire Local,Geauga County,44021,Burton,606,101,31,132,29,20.9
BERKSHIRE MIDDLE SCHOOL,Ohio,Berkshire Local,Geauga County,44021,Burton,481,83,27,110,24,20.04
BERKSHIRE MIDDLE SCHOOL,Ohio,Olentangy Local,Delaware County,43021,Galena,1066,40,8,48,57.27,18.61
BERLIN ELEMENTARY SCHOOL,Ohio,East Holmes Local,Holmes County,44610,Berlin,319,46,30,76,18.14,17.59
BERNE UNION ELEMENTARY SCHOOL,Ohio,Berne Union Local,Fairfield County,43155,Sugar Grove,456,–,–,–,24,19
BERNE UNION HIGH SCHOOL,Ohio,Berne Union Local,Fairfield County,43155,Sugar Grove,374,318,53,371,25,14.96
BERRY INTERMEDIATE SCHOOL,Ohio,Lebanon City,Warren County,45036,Lebanon,880,166,38,204,43,20.47
BERWICK ALTERNATIVE K-8 SCHOOL,Ohio,Columbus City School District,Franklin County,43209,Columbus,760,–,–,–,36,21.11
BETHEL ELEMENTARY SCHOOL,Ohio,Bethel Local,Miami County,45371,Tipp City,721,142,42,184,32,22.53
BETHEL HIGH SCHOOL,Ohio,Bethel Local,Miami County,45371,Tipp City,388,110,32,142,20,19.4
BETHEL MIDDLE SCHOOL,Ohio,Bethel Local,Miami County,45371,Tipp City,353,–,–,–,17,20.76
BETHEL TATE HIGH SCHOOL,Ohio,Bethel-Tate Local,Clermont County,45106,Bethel,472,120,28,148,32,14.75
BETHEL-TATE MIDDLE SCHOOL,Ohio,Bethel-Tate Local,Clermont County,45106,Bethel,370,148,24,172,21,17.62
BETTY JANE COMMUNITY LEARNING CENTER,Ohio,Akron City,Summit County,44305,Akron,416,–,–,–,27,15.41
BEVERLY ELEMENTARY SCHOOL,Ohio,Toledo City,Lucas County,43614,Toledo,615,206,70,276,35,17.57
BEVERLY GARDENS ELEMENTARY SCHOOL,Ohio,Mad River Local,Montgomery County,45431,Dayton,340,92,53,145,18,18.89
BEVERLY-CENTER ELEMENTARY SCHOOL,Ohio,Fort Frye Local,Washington County,45715,Beverly,255,75,29,104,14.1,18.09
BEXLEY HIGH SCHOOL,Ohio,Bexley City,Franklin County,43209,Bexley,756,136,32,168,43.45,17.4
BEXLEY MIDDLE SCHOOL,Ohio,Bexley City,Franklin County,43209,Bexley,575,–,–,–,32.21,17.85
BICK PRIMARY ELEMENTARY SCHOOL,Ohio,Bethel-Tate Local,Clermont County,45106,Bethel,297,104,24,128,16,18.56
BIG CREEK ELEMENTARY SCHOOL,Ohio,Berea City,Cuyahoga County,44130,Middleburg Hts,623,124,22,146,33,18.88
BIG WALNUT ELEMENTARY SCHOOL,Ohio,Big Walnut Local,Delaware County,43074,Sunbury,407,37,12,49,19.5,20.87
BIG WALNUT HIGH SCHOOL,Ohio,Big Walnut Local,Delaware County,43074,Sunbury,1042,103,29,132,52.3,19.92
BIG WALNUT INTERMEDIATE SCHOOL,Ohio,Big Walnut Local,Delaware County,43074,Sunbury,581,77,9,86,30.5,19.05
BIG WALNUT MIDDLE SCHOOL,Ohio,Big Walnut Local,Delaware County,43074,Sunbury,570,67,13,80,31.7,17.98
BIGELOW HILL ELEMENTARY SCHOOL,Ohio,Findlay City,Hancock County,45840,Findlay,253,122,21,143,14,18.07
BINNS ELEMENTARY SCHOOL,Ohio,Columbus City School District,Franklin County,43204,Columbus,388,–,–,–,19,20.42
BIO-MED SCIENCE ACADEMY STEM SCHOOL,Ohio,Bio-Med Science Academy STEM School,Portage County,44272,Rootstown,624,29,10,39,36.87,16.92
BIRCH ELEMENTARY SCHOOL,Ohio,North Olmsted City,Cuyahoga County,44070,North Olmsted,359,139,13,152,19.8,18.13
BIRMINGHAM ELEMENTARY SCHOOL,Ohio,Toledo City,Lucas County,43605,Toledo,371,–,–,–,29,12.79
BLACK RIVER CAREER PREP HIGH SCHOOL,Ohio,Life Skills Center of Elyria,Lorain County,44035,Elyria,133,–,–,–,4,33.25
BLACK RIVER EDUCATION CENTER ELEMENTARY SCHOOL,Ohio,Black River Local,Ashland County,44880,Sullivan,539,–,–,–,27,19.96
BLACK RIVER EDUCATION CENTER MIDDLE SCHOOL,Ohio,Black River Local,Ashland County,44880,Sullivan,260,206,51,257,18,14.44
BLACK RIVER HIGH SCHOOL,Ohio,Black River Local,Ashland County,44880,Sullivan,342,100,26,126,21,16.29
BLACKLICK ELEMENTARY SCHOOL,Ohio,Gahanna-Jefferson City,Franklin County,43004,Blacklick,544,47,8,55,27.31,19.92
BLAIRWOOD ELEMENTARY SCHOOL,Ohio,Jefferson Township Local,Montgomery County,45417,Dayton,195,–,–,–,14.5,13.45
BLANCHESTER HIGH SCHOOL,Ohio,Blanchester Local,Clinton County,45107,Blanchester,412,125,31,156,22,18.73
BLANCHESTER INTERMEDIATE SCHOOL,Ohio,Blanchester Local,Clinton County,45107,Blanchester,254,–,–,–,13,19.54
BLANCHESTER MIDDLE SCHOOL,Ohio,Blanchester Local,Clinton County,45107,Blanchester,374,246,51,297,20,18.7
BLENDON MIDDLE SCHOOL,Ohio,Westerville City,Franklin County,43081,Westerville,717,197,59,256,39.4,18.2
BLOOM CARROLL INTERMEDIATE SCHOOL,Ohio,Bloom-Carroll Local,Fairfield County,43136,Lithopolis,332,49,14,63,15.26,21.76
BLOOM CARROLL PRIMARY SCHOOL,Ohio,Bloom-Carroll Local,Fairfield County,43112,Carroll,482,62,17,79,18.53,26.01
BLOOM-CARROLL HIGH SCHOOL,Ohio,Bloom-Carroll Local,Fairfield County,43112,Carroll,569,90,16,106,28.76,19.78
BLOOM-CARROLL MIDDLE SCHOOL,Ohio,Bloom-Carroll Local,Fairfield County,43112,Carroll,669,94,19,113,26.38,25.36
BLOOM-VERNON ELEMENTARY SCHOOL,Ohio,Bloom-Vernon Local,Scioto County,45682,South Webster,482,245,37,282,33,14.61
BLOOMFIELD HIGH SCHOOL,Ohio,Bloomfield-Mespo Local,Trumbull County,44450,North Bloomfield,90,28,7,35,13.07,6.89
BLUE ASH ELEMENTARY,Ohio,Sycamore Community City,Hamilton County,45236,Cincinnati,516,58,13,71,29,17.79
BLUESTONE ELEMENTARY SCHOOL,Ohio,Euclid City,Cuyahoga County,44132,Euclid,518,–,–,–,30,17.27
BLUFFSVIEW ELEMENTARY SCHOOL,Ohio,Worthington City,Franklin County,43235,Columbus,537,60,24,84,28.65,18.74
BLUFFTON ELEMENTARY SCHOOL,Ohio,Bluffton Exempted Village,Allen County,45817,Bluffton,592,–,–,–,33,17.94
BLUFFTON HIGH SCHOOL,Ohio,Bluffton Exempted Village,Allen County,45817,Bluffton,317,23,24,47,20,15.85
BLUFFTON MIDDLE SCHOOL,Ohio,Bluffton Exempted Village,Allen County,45817,Bluffton,278,112,52,164,15,18.53
BOARDMAN CENTER INTERMEDIATE SCHOOL,Ohio,Boardman Local,Mahoning County,44512,Youngstown,655,259,42,301,36,18.19
BOARDMAN GLENWOOD JUNIOR HIGH,Ohio,Boardman Local,Mahoning County,44512,Youngstown,683,245,50,295,43,15.88
BOARDMAN HIGH SCHOOL,Ohio,Boardman Local,Mahoning County,44512,Youngstown,1283,418,65,483,78,16.45
BOGAN ELEMENTARY,Ohio,Talawanda City,Butler County,45056,Oxford,418,107,24,131,21,19.9
BOLICH MIDDLE SCHOOL,Ohio,Cuyahoga Falls City,Summit County,44223,Cuyahoga Falls,545,186,50,236,42,12.98
BOLTON,Ohio,Cleveland Municipal,Cuyahoga County,44106,Cleveland,289,–,–,–,25.01,11.56
BOLTON CROSSING ELEMENTARY,OHIO,South-Western City,Franklin County,43123,Grove,513,273,37,310,24.4,21.02
BOND HILL ACADEMY,Ohio,Cincinnati Public Schools,Hamilton County,45237,Cincinnati,330,–,–,–,24,13.75
BOTKINS ELEMENTARY SCHOOL,Ohio,Botkins Local,Shelby County,45306,Botkins,347,36,17,53,18.15,19.12
BOTKINS HIGH SCHOOL,Ohio,Botkins Local,Shelby County,45306,Botkins,274,33,17,50,18.15,15.1
BOULEVARD ELEMENTARY SCHOOL,Ohio,Shaker Heights City,Cuyahoga County,44120,Shaker Heights,325,119,15,134,20,16.25
