ELSI Export,,,,,,,,,,,
,,,,,,,,,,,
National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/,,,,,,,,,,,
,,,,,,,,,,,
This is a Public School based table with the following filters applied: State(s) (All Years): OHIO,,,,,,,,,,,
,,,,,,,,,,,
School Name,State Name [Public School] Latest available year,Agency Name [Public School] 2018-19,County Name [Public School] 2018-19,Location ZIP [Public School] 2018-19,Location City [Public School] 2018-19,Total Students All Grades (Excludes AE) [Public School] 2018-19,Free Lunch Eligible [Public School] 2018-19,Reduced-price Lunch Eligible Students [Public School] 2018-19,Free and Reduced Lunch Students [Public School] 2018-19,Full-Time Equivalent (FTE) Teachers [Public School] 2018-19,Pupil/Teacher Ratio [Public School] 2018-19
JACKSON CENTER ELEMENTARY SCHOOL,Ohio,Jackson Center Local,Shelby County,45334,Jackson Center,297,–,–,–,11,27
JACKSON CENTER HIGH SCHOOL,Ohio,Jackson Center Local,Shelby County,45334,Jackson Center,254,103,26,129,11,23.09
JACKSON HIGH SCHOOL,Ohio,Jackson Local,Stark County,44646,Massillon,1988,240,52,292,91.25,21.79
JACKSON HIGH SCHOOL,Ohio,Jackson City,Jackson County,45640,Jackson,620,239,36,275,41.05,15.1
JACKSON INTERMEDIATE,Ohio,Lakewood Local,Licking County,43025,Hebron,449,182,41,223,25.5,17.61
JACKSON MEMORIAL MIDDLE SCHOOL,Ohio,Jackson Local,Stark County,44646,Massillon,1403,169,31,200,68.42,20.51
JACKSON MIDDLE SCHOOL,Ohio,South-Western City,Franklin County,43123,Grove City,662,78,19,97,35.51,18.64
JACKSON MIDDLE SCHOOL,Ohio,Jackson City,Jackson County,45640,Jackson,544,214,50,264,36.72,14.81
JACKSON NORTHVIEW ELEMENTARY SCHOOL,Ohio,Jackson City,Jackson County,45640,Jackson,376,203,23,226,26.34,14.27
JACKSON SOUTHVIEW ELEMENTARY SCHOOL,Ohio,Jackson City,Jackson County,45640,Jackson,418,182,30,212,24.33,17.18
JACKSON WESTVIEW ELEMENTARY SCHOOL,Ohio,Jackson City,Jackson County,45640,Jackson,394,174,30,204,22.33,17.64
JACKSON-MILTON ELEMENTARY SCHOOL,Ohio,Jackson-Milton Local,Mahoning County,44451,North Jackson,455,177,28,205,24.55,18.53
JACKSON-MILTON HIGH SCHOOL,Ohio,Jackson-Milton Local,Mahoning County,44451,North Jackson,177,98,31,129,17.45,10.14
JACKSON-MILTON MIDDLE SCHOOL,Ohio,Jackson-Milton Local,Mahoning County,44451,North Jackson,116,–,–,–,5,23.2
JACOB COY MIDDLE SCHOOL,Ohio,Beavercreek City,Greene County,45385,Xenia,1019,101,22,123,55.19,18.46
JAMES A GARFIELD ELEMENTARY SCHOOL,Ohio,James A Garfield Local,Portage County,44231,Garrettsville,737,223,51,274,42.01,17.54
JAMES A GARFIELD HIGH SCHOOL,Ohio,James A Garfield Local,Portage County,44231,Garrettsville,416,162,48,210,24.52,16.97
JAMES A GARFIELD MIDDLE SCHOOL,Ohio,James A Garfield Local,Portage County,44231,Garrettsville,240,–,–,–,14.76,16.26
JAMES A HARMON ELEMENTARY SCHOOL,Ohio,South-Western City,Franklin County,43123,Grove City,544,321,54,375,28.5,19.09
JAMES A. GARFIELD ELEMENTARY SCHOOL,Ohio,Marion City,Marion County,43302,Marion,418,–,–,–,24.7,16.92
JAMES CONGER ELEMENTARY SCHOOL,Ohio,Delaware City,Delaware County,43015,Delaware,405,135,26,161,19.01,21.3
JAMES FORD RHODES HIGH SCHOOL,Ohio,Cleveland Municipal,Cuyahoga County,44144,Cleveland,648,–,–,–,40,16.2
JAMES J HILFIKER ELEMENTARY SCHOOL,Ohio,Gibsonburg Exempted Village,Sandusky County,43431,Gibsonburg,420,106,43,149,23.9,17.57
JAMES N. GAMBLE MONTESSORI ELEMENTARY SCHOOL,OHIO,Cincinnati Public Schools,Hamilton County,45211,Cincinnati,58,–,–,–,4,14.5
JAMES N. GAMBLE MONTESSORI HIGH SCHOOL,Ohio,Cincinnati Public Schools,Hamilton County,45211,Cincinnati,500,–,–,–,35,14.29
JANE ADDAMS BUSINESS CAREERS HIGH SCHOOL,Ohio,Cleveland Municipal,Cuyahoga County,44115,Cleveland,231,–,–,–,22,10.5
JANE CHANCE ELEMENTARY,Ohio,Miamisburg City,Montgomery County,45342,Miamisburg,362,124,27,151,21.8,16.61
JASPER ELEMENTARY SCHOOL,Ohio,Scioto Valley Local,Pike County,45661,Piketon,373,–,–,–,17,21.94
JC SOMMER ELEMENTARY SCHOOL,Ohio,South-Western City,Franklin County,43123,Grove City,640,124,31,155,28,22.86
JEFFERSON AREA JUNIOR HIGH SCHOOL,Ohio,Jefferson Area Local,Ashtabula County,44047,Jefferson,283,100,14,114,11.19,25.29
JEFFERSON AREA SR HIGH SCHOOL,Ohio,Jefferson Area Local,Ashtabula County,44047,Jefferson,462,167,33,200,22.19,20.82
JEFFERSON AVE ELEMENTARY SCHOOL,Ohio,Shadyside Local,Belmont County,43947,Shadyside,204,56,8,64,12,17
JEFFERSON COUNTY,Ohio,Jefferson County,Jefferson County,43910,Bloomingdale,0,–,–,–,29.5,0
JEFFERSON ELEMENTARY,Ohio,Jefferson Area Local,Ashtabula County,44047,Jefferson,617,280,41,321,27.2,22.68
JEFFERSON ELEMENTARY SCHOOL,Ohio,Willoughby-Eastlake City,Lake County,44095,Eastlake,472,170,31,201,27.5,17.16
JEFFERSON ELEMENTARY SCHOOL,Ohio,Gahanna-Jefferson City,Franklin County,43230,Gahanna,547,73,27,100,26,21.04
JEFFERSON HIGH SCHOOL,Ohio,Delphos City,Van Wert County,45833,Delphos,303,71,22,93,22,13.77
JEFFERSON JR./SR. HIGH SCHOOL,Ohio,Jefferson Township Local,Montgomery County,45417,Dayton,153,–,–,–,7.47,20.48
JEFFERSON JUNIOR HIGH SCHOOL,Ohio,Washington Local,Lucas County,43613,Toledo,557,242,37,279,35,15.91
JEFFERSON MIDDLE SCHOOL,Ohio,Delphos City,Van Wert County,45833,Delphos,229,73,16,89,14,16.36
JEFFERSON PK-8 SCHOOL,Ohio,Warren City,Trumbull County,44485,Warren,752,–,–,–,46,16.35
JEFFERSON PRIMARY SCHOOL,Ohio,Findlay City,Hancock County,45840,Findlay,322,100,11,111,15,21.47
JENNINGS COMMUNITY LEARNING CENTER,Ohio,Akron City,Summit County,44310,Akron,751,–,–,–,50.1,14.99
JERUSALEM ELEMENTARY SCHOOL,Ohio,Oregon City,Lucas County,43412,Curtice,389,146,25,171,19,20.47
JESUP W. SCOTT HIGH SCHOOL,Ohio,Toledo City,Lucas County,43620,Toledo,626,–,–,–,45,13.91
JOHN ADAMS COLLEGE & CAREER ACADEMY,OHIO,Cleveland Municipal,Cuyahoga County,44105,Cleveland,218,–,–,–,15,14.53
JOHN ADAMS HIGH SCHOOL,Ohio,Cleveland Municipal,Cuyahoga County,44105,Cleveland,417,–,–,–,25,16.68
JOHN C DEMPSEY MIDDLE SCHOOL,Ohio,Delaware City,Delaware County,43015,Delaware,1305,294,96,390,71.5,18.25
JOHN CLEM ELEMENTARY SCHOOL,Ohio,Newark City,Licking County,43055,Newark,468,240,26,266,26.29,17.8
JOHN E GREGG ELEMENTARY SCHOOL,Ohio,Edison Local,Jefferson County,43908,Bergholz,401,193,31,224,20.5,19.56
JOHN F KENNEDY HIGH SCHOOL,OHIO,Cleveland Municipal,Cuyahoga County,44128,Cleveland,270,–,–,–,19,14.21
JOHN FOSTER DULLES ELEMENTARY SCHOOL,Ohio,Oak Hills Local,Hamilton County,45248,Cincinnati,839,113,23,136,32.5,25.82
JOHN GLENN HIGH SCHOOL,Ohio,East Muskingum Local,Muskingum County,43762,New Concord,594,164,45,209,32.54,18.25
JOHN MARSHALL SCHOOL OF BUSINESS AND CIVIC LEADERSHIP,OHIO,Cleveland Municipal,Cuyahoga County,44111,Cleveland,420,–,–,–,27,15.56
JOHN MARSHALL SCHOOL OF ENGINEERING,OHIO,Cleveland Municipal,Cuyahoga County,44111,Cleveland,371,–,–,–,27.01,13.74
JOHN MARSHALL SCHOOL OF INFORMATION TECHNOLOGY,OHIO,Cleveland Municipal,Cuyahoga County,44111,Cleveland,388,–,–,–,27,14.37
JOHN MCINTIRE ELEMENTARY SCHOOL,Ohio,Zanesville City,Muskingum County,43701,Zanesville,755,–,–,–,37,20.41
JOHN MUIR ELEMENTARY SCHOOL,Ohio,Parma City,Cuyahoga County,44134,Parma,392,196,30,226,20.97,18.69
JOHN P. PARKER SCHOOL,Ohio,Cincinnati Public Schools,Hamilton County,45227,Cincinnati,405,–,–,–,26.5,15.28
JOHN R LEA MIDDLE SCHOOL,Ohio,Southeast Local,Wayne County,44606,Apple Creek,173,58,25,83,13,13.31
JOHN SELLS MIDDLE SCHOOL,Ohio,Dublin City,Franklin County,43017,Dublin,920,194,18,212,50.5,18.22
JOHNNYCAKE CORNERS ELEMENTARY SCHOOL,Ohio,Olentangy Local,Delaware County,43021,Galena,688,13,3,16,32.39,21.24
JOHNSON PARK MIDDLE SCHOOL,Ohio,Columbus City School District,Franklin County,43227,Columbus,401,–,–,–,27,14.85
JOHNSTOWN ELEMENTARY SCHOOL,Ohio,Johnstown-Monroe Local,Licking County,43031,Johnstown,778,133,29,162,39,19.95
JOHNSTOWN HIGH SCHOOL,Ohio,Johnstown-Monroe Local,Licking County,43031,Johnstown,500,51,18,69,29,17.24
JOHNSTOWN MIDDLE SCHOOL,Ohio,Johnstown-Monroe Local,Licking County,43031,Johnstown,392,65,11,76,23.5,16.68
JONATHAN ALDER HIGH SCHOOL,Ohio,Jonathan Alder Local,Madison County,43064,Plain City,661,102,26,128,27.8,23.78
JONATHAN ALDER JUNIOR HIGH,Ohio,Jonathan Alder Local,Madison County,43064,Plain City,388,81,16,97,18.5,20.97
JONES LEADERSHIP ACADEMY,Ohio,Toledo City,Lucas County,43604,Toledo,287,–,–,–,21,13.67
JONES MIDDLE SCHOOL,Ohio,Upper Arlington City,Franklin County,43221,Upper Arlington,737,–,–,–,60.5,12.18
JOSEPH M GALLAGHER SCHOOL,Ohio,Cleveland Municipal,Cuyahoga County,44102,Cleveland,760,–,–,–,48.01,15.83
JOSEPH V. REGANO EARLY LEARNING CENTER,Ohio,Solon City,Cuyahoga County,44139,Solon,80,5,1,6,5.5,14.55
JOSEPH WELTY MIDDLE SCHOOL,Ohio,New Philadelphia City,Tuscarawas County,44663,New Philadelphia,704,269,44,313,38,18.53
JOSHUA DIXON ELEMENTARY SCHOOL,Ohio,Columbiana Exempted Village,Columbiana County,44408,Columbiana,415,82,22,104,26,15.96
JUDITH A RESNIK COMMUNITY LEARNING CENTER,Ohio,Akron City,Summit County,44313,Akron,393,–,–,–,27.75,14.16
JULIAN & MARJORIE LANGE SCHOOL ELEMENTARY SCHOOL,Ohio,Oakwood City,Montgomery County,45429,Dayton,125,4,1,5,8.6,14.53
JUNCTION CITY ELEMENTARY SCHOOL,Ohio,New Lexington School District,Perry County,43748,Junction City,360,–,–,–,20.5,17.56
KAE AVENUE ELEMENTARY SCHOOL,Ohio,Whitehall City,Franklin County,43213,Whitehall,829,–,–,–,46,18.02
KALIDA ELEMENTARY SCHOOL,Ohio,Kalida Local,Putnam County,45853,Kalida,250,15,4,19,16.5,15.15
KALIDA HIGH SCHOOL,Ohio,Kalida Local,Putnam County,45853,Kalida,340,14,17,31,22,15.45
KATHERINE THOMAS ELEMENTARY SCHOOL,Ohio,Windham Exempted Village,Portage County,44288,Windham,190,–,–,–,14.12,13.46
KEAN ELEMENTARY SCHOOL,Ohio,Wooster City,Wayne County,44691,Wooster,322,90,22,112,17.4,18.51
KEENE ELEMENTARY SCHOOL,Ohio,River View Local,Coshocton County,43828,Keene,245,114,22,136,15.05,16.28
KELLEYS ISLAND HIGH SCHOOL,Ohio,Kelleys Island Local,Erie County,43438,Kelleys Island,6,‡,‡,‡,0,†
KEMP ELEMENTARY SCHOOL,Ohio,Dayton City,Montgomery County,45403,Dayton,449,–,–,–,31,14.48
KENMORE/GARFIELD HIGH SCHOOL,Ohio,Akron City,Summit County,44314,Akron,864,–,–,–,62.5,13.82
KENNETH W CLEMENT,Ohio,Cleveland Municipal,Cuyahoga County,44112,Cleveland,165,–,–,–,9,18.33
KENSINGTON INTERMEDIATE ELEMENTARY SCHOOL,Ohio,Rocky River City,Cuyahoga County,44116,Rocky River,577,–,–,–,34.83,16.57
KENSTON HIGH SCHOOL,Ohio,Kenston Local,Geauga County,44023,Chagrin Falls,947,65,17,82,63.25,14.97
KENSTON INTERMEDIATE SCHOOL,Ohio,Kenston Local,Geauga County,44023,Chagrin Falls,381,29,7,36,23,16.57
KENSTON MIDDLE SCHOOL,Ohio,Kenston Local,Geauga County,44023,Chagrin Falls,606,44,12,56,45.57,13.3
KENTON ELEMENTARY SCHOOL,Ohio,Springfield City School District,Clark County,45503,Springfield,459,–,–,–,25,18.36
KENTON ELEMENTARY SCHOOL,Ohio,Kenton City,Hardin County,43326,Kenton,1070,532,124,656,64,16.72
KENTON HIGH SCHOOL,Ohio,Kenton City,Hardin County,43326,Kenton,534,195,35,230,31,17.23
KENTON MIDDLE SCHOOL,Ohio,Kenton City,Hardin County,43326,Kenton,267,121,23,144,17,15.71
KENTON RIDGE HIGH SCHOOL,Ohio,Northeastern Local,Clark County,45503,Springfield,557,73,23,96,32.93,16.91
KENWOOD ELEMENTARY,Ohio,Springfield City School District,Clark County,45505,Springfield,422,–,–,–,24,17.58
KENWOOD ELEMENTARY SCHOOL,Ohio,Bowling Green City School District,Wood County,43402,Bowling Green,386,98,25,123,21,18.38
KETTERING EARLY CHILDHOOD EDUCATION CENTER,Ohio,Kettering City School District,Montgomery County,45439,Dayton,126,–,–,–,8.52,14.79
KETTERING FAIRMONT HIGH SCHOOL,Ohio,Kettering City School District,Montgomery County,45429,Kettering,2326,620,149,769,130.64,17.8
KETTERING MIDDLE SCHOOL,Ohio,Kettering City School District,Montgomery County,45420,Kettering,1020,341,80,421,63.88,15.97
KEYSER ELEMENTARY SCHOOL,Ohio,Toledo City,Lucas County,43607,Toledo,302,–,–,–,19,15.89
KEYSTONE ELEMENTARY SCHOOL,Ohio,Keystone Local,Lorain County,44050,Lagrange,672,173,46,219,32,21
KEYSTONE HIGH SCHOOL,Ohio,Keystone Local,Lorain County,44050,Lagrange,449,89,19,108,27.25,16.48
KEYSTONE MIDDLE SCHOOL,Ohio,Keystone Local,Lorain County,44050,Lagrange,350,76,13,89,20,17.5
KIDS CARE ELEMENTARY,OHIO,Kids Care Elementary,Franklin County,43224,Columbus,111,105,0,105,12,9.25
KILBOURNE MIDDLE SCHOOL,Ohio,Worthington City,Franklin County,43085,Worthington,473,72,22,94,31.3,15.11
KILGOUR SCHOOL,Ohio,Cincinnati Public Schools,Hamilton County,45208,Cincinnati,635,70,6,76,34.8,18.25
KILLBUCK ELEMENTARY SCHOOL,Ohio,West Holmes Local,Holmes County,44637,Killbuck,193,68,27,95,12,16.08
KIMPTON MIDDLE SCHOOL,Ohio,Stow-Munroe Falls City School District,Summit County,44262,Munroe Falls,810,169,33,202,38.03,21.3
KINDER ELEMENTARY SCHOOL,Ohio,Miamisburg City,Montgomery County,45342,Miamisburg,362,180,30,210,21.2,17.08
KING ELEMENTARY SCHOOL,Ohio,Akron City,Summit County,44303,Akron,418,–,–,–,25.7,16.26
KINGS HIGH SCHOOL,Ohio,Kings Local,Warren County,45034,Kings Mills,1368,137,40,177,60.18,22.73
KINGS JUNIOR HIGH SCHOOL,Ohio,Kings Local,Warren County,45034,Kings Mills,650,91,18,109,39.22,16.57
KINGS MILLS EDUCATIONAL CENTER,OHIO,Kings Local,Warren County,45034,Kings Mills,270,–,–,–,5,54
KINGS MILLS ELEMENTARY SCHOOL,Ohio,Kings Local,Warren County,45034,Kings Mills,497,33,19,52,27,18.41
KINGSVILLE ELEMENTARY SCHOOL,Ohio,Buckeye Local,Ashtabula County,44048,Kingsville,398,168,37,205,18,22.11
KINSNER ELEMENTARY SCHOOL,Ohio,Strongsville City,Cuyahoga County,44149,Strongsville,548,81,15,96,26.5,20.68
KIPP COLUMBUS,Ohio,KIPP Columbus,Franklin County,43224,Columbus,1394,–,–,–,75,18.59
KIRKERSVILLE ELEMENTARY SCHOOL,Ohio,Southwest Licking Local,Licking County,43033,Kirkersville,619,171,22,193,32,19.34
KIRKMERE SCHOOL,OHIO,Youngstown City,Mahoning County,44511,Youngstown,397,–,–,–,26,15.27
KIRTLAND ELEMENTARY SCHOOL,Ohio,Kirtland Local,Lake County,44094,Kirtland,488,27,8,35,23,21.22
KIRTLAND HIGH SCHOOL,Ohio,Kirtland Local,Lake County,44094,Kirtland,423,14,15,29,19,22.26
KIRTLAND MIDDLE SCHOOL,Ohio,Kirtland Local,Lake County,44094,Kirtland,282,16,6,22,12.5,22.56
KISER ELEMENTARY SCHOOL,Ohio,Dayton City,Montgomery County,45404,Dayton,545,–,–,–,36,15.14
KLEPINGER COMMUNITY SCHOOL,Ohio,Klepinger Community School,Montgomery County,45416,Dayton,585,–,–,–,23,25.43
KLEPTZ EARLY CHILDHOOD LEARNING CENTER,Ohio,Northmont City,Montgomery County,45315,Clayton,872,203,61,264,40.8,21.37
KNOLLWOOD ELEMENTARY SCHOOL,Ohio,Sheffield-Sheffield Lake City,Lorain County,44054,Sheffield Village,271,93,23,116,14.33,18.91
KNOX COUNTY CAREER CENTER,Ohio,Knox County JVSD,Knox County,43050,Mount Vernon,0,–,–,–,69,0
KNOX COUNTY CAREER CENTER 4,OHIO,Knox County JVSD,Knox County,43050,Mount,†,†,†,†,†,†
KRAMER ELEMENTARY SCHOOL,Ohio,Talawanda City,Butler County,45056,Oxford,557,150,39,189,28,19.89
KROUT 2-3 ELEMENTARY,Ohio,Tiffin City,Seneca County,44883,Tiffin,349,130,38,168,17,20.53
KYLE ELEMENTARY SCHOOL,Ohio,Troy City,Miami County,45373,Troy,224,116,15,131,15,14.93
L. HOLLINGWORTH SCHOOL FOR TALENTED AND GIFTED,Ohio,L. Hollingworth School for Talented and Gifted,Lucas County,43605,Toledo,342,–,–,–,9,38
L. T. BALL INTERMEDIATE SCHOOL,Ohio,Tipp City Exempted Village,Miami County,45371,Tipp City,369,50,10,60,20.86,17.69
LABRAE HIGH SCHOOL,Ohio,LaBrae Local,Trumbull County,44430,Leavittsburg,334,109,15,124,22,15.18
LABRAE INTERMEDIATE SCHOOL,Ohio,LaBrae Local,Trumbull County,44430,Leavittsburg,259,117,20,137,17,15.24
LABRAE MIDDLE SCHOOL,Ohio,LaBrae Local,Trumbull County,44430,Leavittsburg,277,131,18,149,20,13.85
LACROFT ELEMENTARY SCHOOL,Ohio,East Liverpool City,Columbiana County,43920,East Liverpool,432,–,–,–,28,15.43
LAGONDA ELEMENTARY SCHOOL,Ohio,Springfield City School District,Clark County,45503,Springfield,407,–,–,–,24,16.96
LAKE CABLE ELEMENTARY SCHOOL,Ohio,Jackson Local,Stark County,44718,Canton,580,109,15,124,26.33,22.03
LAKE ELEMENTARY SCHOOL,Ohio,Lake Local,Stark County,44632,Hartville,1251,181,65,246,56,22.34
LAKE ELEMENTARY SCHOOL,Ohio,Mentor Exempted Village,Lake County,44060,Mentor On The Lake,341,146,27,173,20,17.05
LAKE ELEMENTARY SCHOOL,Ohio,Lake Local,Wood County,43447,Millbury,655,184,50,234,30.7,21.34
LAKE ERIE COLLEGE PREPARATORY SCHOOL,Ohio,Lake Erie College Preparatory School,Cuyahoga County,44110,Cleveland,238,–,–,–,12,19.83
LAKE ERIE INTERNATIONAL HIGH SCHOOL,Ohio,Lake Erie International High School,Cuyahoga County,44102,Cleveland,246,–,–,–,5,49.2
LAKE HIGH SCHOOL,Ohio,Lake Local,Wood County,43447,Millbury,528,268,59,327,33.5,15.76
LAKE MIDDLE / HIGH SCHOOL,Ohio,Lake Local,Stark County,44685,Uniontown,1685,211,53,264,97,17.37
LAKE MIDDLE SCHOOL,Ohio,Lake Local,Wood County,43447,Millbury,416,–,–,–,23.65,17.59
LAKE PRIMARY SCHOOL,Ohio,Lake Local,Stark County,44685,Uniontown,457,61,28,89,30.13,15.17
LAKELAND ACADEMY COMMUNITY SCHOOL,Ohio,Lakeland Academy Community School,Harrison County,43973,Freeport,62,–,–,–,5.27,11.76
LAKESHORE INTERGENERATIONAL SCHOOL,OHIO,Lakeshore Intergenerational School,Cuyahoga County,44119,Cleveland,217,–,–,–,17,12.76
LAKESHORE PRIMARY ELEMENTARY SCHOOL,Ohio,Conneaut Area City,Ashtabula County,44030,Conneaut,433,266,36,302,23,18.83
LAKESIDE HIGH SCHOOL,Ohio,Ashtabula Area City,Ashtabula County,44004,Ashtabula,947,–,–,–,48.74,19.43
LAKESIDE JUNIOR HIGH SCHOOL,Ohio,Ashtabula Area City,Ashtabula County,44004,Ashtabula,497,–,–,–,29.5,16.85
LAKEVIEW ELEMENTARY SCHOOL,Ohio,Stow-Munroe Falls City School District,Summit County,44224,Stow,779,–,–,–,42.9,18.16
LAKEVIEW ELEMENTARY SCHOOL,Ohio,Lakeview Local,Trumbull County,44481,Warren,615,–,–,–,27,22.78
LAKEVIEW HIGH SCHOOL,Ohio,Lakeview Local,Trumbull County,44410,Cortland,537,93,32,125,30.33,17.71
LAKEVIEW MIDDLE SCHOOL,Ohio,Lakeview Local,Trumbull County,44410,Cortland,532,‡,‡,‡,27.53,19.32
LAKEVILLE ELEMENTARY SCHOOL,Ohio,West Holmes Local,Holmes County,44638,Lakeville,124,41,13,54,6,20.67
LAKEWOOD CITY ACADEMY,Ohio,Lakewood City Academy,Cuyahoga County,44107,Lakewood,102,–,–,–,8.99,11.35
LAKEWOOD HIGH SCHOOL,Ohio,Lakewood City,Cuyahoga County,44107,Lakewood,1461,541,60,601,96.76,15.1
LAKEWOOD HIGH SCHOOL,Ohio,Lakewood Local,Licking County,43025,Hebron,549,161,43,204,34.88,15.74
LAKEWOOD MIDDLE SCHOOL,Ohio,Lakewood Local,Licking County,43025,Hebron,429,157,38,195,30.62,14.01
LAKOTA EAST HIGH SCHOOL,Ohio,Lakota Local,Butler County,45044,Liberty Township,2637,336,52,388,107.4,24.55
LAKOTA ELEMENTARY SCHOOL,Ohio,Lakota Local,Sandusky County,44841,Kansas,393,136,36,172,11,35.73
LAKOTA HIGH SCHOOL,Ohio,Lakota Local,Sandusky County,44841,Kansas,331,104,32,136,8,41.38
LAKOTA MIDDLE SCHOOL,Ohio,Lakota Local,Sandusky County,44841,Kansas,359,115,46,161,11,32.64
LAKOTA PLAINS JUNIOR SCHOOL,Ohio,Lakota Local,Butler County,45011,Liberty Township,730,101,22,123,31.15,23.43
LAKOTA RIDGE JUNIOR SCHOOL,Ohio,Lakota Local,Butler County,45069,West Chester,599,145,26,171,23.5,25.49
LAKOTA WEST HIGH SCHOOL,Ohio,Lakota Local,Butler County,45069,West Chester,2480,406,71,477,108.13,22.94
LANCASTER HIGH SCHOOL,Ohio,Lancaster City,Fairfield County,43130,Lancaster,1824,623,91,714,98.5,18.52
LANDECK ELEMENTARY SCHOOL,Ohio,Delphos City,Allen County,45833,Delphos,84,7,8,15,5,16.8
LANDER ELEMENTARY,Ohio,Mayfield City,Cuyahoga County,44124,Cleveland,502,128,30,158,29,17.31
LANGSTON MIDDLE SCHOOL,Ohio,Oberlin City Schools,Lorain County,44074,Oberlin,216,106,14,120,20.6,10.49
LARCHMONT ELEMENTARY SCHOOL,Ohio,Toledo City,Lucas County,43612,Toledo,456,–,–,–,29,15.72
LARKMOOR ELEMENTARY SCHOOL,Ohio,Lorain City,Lorain County,44052,Lorain,392,–,–,–,23.8,16.47
LARRY MILLER INTERMEDIATE ELEMENTARY SCHOOL,Ohio,East Muskingum Local,Muskingum County,43762,New Concord,509,171,37,208,26,19.58
LARSON MIDDLE SCHOOL,Ohio,Grandview Heights Schools,Franklin County,43212,Columbus,240,–,–,–,19.4,12.37
LAURA WOODWARD ELEMENTARY SCHOOL,Ohio,Delaware City,Delaware County,43015,Delaware,635,245,34,279,29.03,21.87
LAUREL OAKS CDC,Ohio,Great Oaks Career Campuses,Clinton County,45177,Wilmington,0,–,–,–,35,0
LAURELVILLE ELEMENTARY SCHOOL,Ohio,Logan Elm Local,Hocking County,43135,Laurelville,253,113,11,124,15,16.87
LAWRENCE COUNTY,Ohio,Lawrence County,Lawrence County,45619,Chesapeake,0,–,–,–,39,0
LEAGUE ELEMENTARY SCHOOL,Ohio,Norwalk City,Huron County,44857,Norwalk,193,103,13,116,9,21.44
LEAP ACADEMY AT NORTH FAIRMOUNT,OHIO,Cincinnati Public Schools,Hamilton County,45225,Cincinnati,228,191,5,196,19.5,11.69
LEARWOOD MIDDLE SCHOOL,Ohio,Avon Lake City,Lorain County,44012,Avon Lake,616,56,19,75,36.24,17
LEAWOOD ELEMENTARY SCHOOL,Ohio,Columbus City School District,Franklin County,43227,Columbus,286,–,–,–,16,17.88
LEBANON HIGH SCHOOL,Ohio,Lebanon City,Warren County,45036,Lebanon,1645,201,37,238,69,23.84
LEBANON JUNIOR HIGH,Ohio,Lebanon City,Warren County,45036,Lebanon,870,161,27,188,45.6,19.08
LEDGEVIEW ELEMENTARY SCHOOL,Ohio,Nordonia Hills City,Summit County,44056,Macedonia,468,59,15,74,24.93,18.77
LEE BURNESON MIDDLE SCHOOL,Ohio,Westlake City,Cuyahoga County,44145,Westlake,573,103,14,117,39.9,14.36
LEE EATON ELEMENTARY SCHOOL,Ohio,Nordonia Hills City,Summit County,44067,Northfield,609,62,19,81,26.7,22.81
LEETONIA ELEMENTARY K-6,Ohio,Leetonia Exempted Village,Columbiana County,44431,Leetonia,207,170,34,204,10,20.7
LEETONIA ELEMENTARY SCHOOL,Ohio,Leetonia Exempted Village,Columbiana County,44431,Leetonia,227,–,–,–,16,14.19
LEETONIA JR./SR. HIGH SCHOOL,Ohio,Leetonia Exempted Village,Columbiana County,44431,Leetonia,199,–,–,–,13,15.31
LEGEND ELEMENTARY,Ohio,Newark City,Licking County,43055,Newark,530,173,23,196,29.4,18.03
LEGGETT COMMUNITY LEARNING CENTER,Ohio,Akron City,Summit County,44311,Akron,361,–,–,–,26.8,13.47
LEHMAN MIDDLE SCHOOL,Ohio,Canton City,Stark County,44708,Canton,591,–,–,–,34,17.38
LEIGHTON ELEMENTARY SCHOOL,Ohio,Aurora City,Portage County,44202,Aurora,669,37,15,52,34.66,19.3
LEIPSIC ELEMENTARY SCHOOL,Ohio,Leipsic Local,Putnam County,45856,Leipsic,336,134,28,162,23.68,14.19
LEIPSIC HIGH SCHOOL,Ohio,Leipsic Local,Putnam County,45856,Leipsic,327,123,33,156,23.97,13.64
LEONA AVE MIDDLE SCHOOL,Ohio,Shadyside Local,Belmont County,43947,Shadyside,236,129,23,152,14.2,16.62
LEVERETTE ELEMENTARY SCHOOL,Ohio,Toledo City,Lucas County,43608,Toledo,450,–,–,–,25,18
LEWIS F MAYER MIDDLE SCHOOL,Ohio,Fairview Park City,Cuyahoga County,44126,Fairview Park,397,98,24,122,23.25,17.08
LEXINGTON ELEMENTARY SCHOOL,Ohio,Marlington Local,Stark County,44601,Alliance,345,233,42,275,19.33,17.85
LEXINGTON HIGH SCHOOL,Ohio,Lexington Local,Richland County,44904,Lexington,754,86,45,131,37.52,20.1
LEXINGTON JUNIOR HIGH SCHOOL,Ohio,Lexington Local,Richland County,44904,Lexington,405,68,31,99,23.9,16.95
LIBERTY ARTS MAGNET K-8,Ohio,Lima City,Allen County,45804,Lima,413,–,–,–,25,16.52
LIBERTY CENTER ELEMENTARY SCHOOL,Ohio,Liberty Center Local,Henry County,43532,Liberty Center,353,–,–,–,25.66,13.76
LIBERTY CENTER HIGH SCHOOL,Ohio,Liberty Center Local,Henry County,43532,Liberty Center,359,184,68,252,25.5,14.08
