2022 PI Ranking,LEA Name,2022 PI Proxy Descriptor,2022 PI for Ranking,2022 Achievement Rating,ODE Designated County,LEA IRN,LEA Org Type,LEA Status as of 9/13/22,2022 Grade Span,Additional Comments
723,Whitehall Preparatory and Fitness Academy,REAL PI,55.977,2 Star,Franklin,000509,Community School,Open,K-8,
728,Columbus Preparatory and Fitness Academy,REAL PI,55.662,2 Star,Franklin,000952,Community School,Open,K-8,
731,Columbus Arts & Technology Academy,REAL PI,55.064,2 Star,Franklin,000557,Community School,Open,K-12,
738,Columbus City Schools District,REAL PI,54.07,2 Star,Franklin,043802,Public District,Open,K-12,
745,Eastland Preparatory Academy,REAL PI,53.483,1 Star,Franklin,014090,Community School,Open,K-12,
747,Eagle Charter Schools of Ohio,REAL PI,53.438,1 Star,Franklin,019533,Community School,Open,K-5,
750,Great Western Academy,REAL PI,53.256,1 Star,Franklin,143198,Community School,Open,K-8,
761,Kids Care Elementary,REAL PI,52.048,1 Star,Franklin,016836,Community School,Open,K-5,
766,Northland Preparatory and Fitness Academy,REAL PI,51.423,1 Star,Franklin,000511,Community School,Open,K-8,
774,Graham Elementary and Middle School,REAL PI,50.435,1 Star,Franklin,011972,Community School,Open,K-8,
784,Millennium Community School,REAL PI,49.003,1 Star,Franklin,133561,Community School,Open,K-8,
786,Summit Academy Transition High School-Columbus,REAL PI,48.63,1 Star,Franklin,000614,Community School,Open,9-12,
790,A+ Children's Academy,REAL PI,48.315,1 Star,Franklin,013232,Community School,Open,K-6,
794,Zenith Academy West,REAL PI,48.008,1 Star,Franklin,015234,Community School,Open,K-8,
796,Sullivant Avenue Community School,REAL PI,47.731,1 Star,Franklin,009953,Community School,Open,K-6,
800,Capital Collegiate Preparatory Academy,REAL PI,47.45,1 Star,Franklin,017537,Community School,Open,K-8,
806,Imagine Columbus Primary School,REAL PI,46.722,1 Star,Franklin,014139,Community School,Open,K-6,
810,Central Point Preparatory Academy,REAL PI,45.924,1 Star,Franklin,019199,Community School,Open,K-8,
825,Summit Academy Community School-Columbus,REAL PI,44.545,1 Star,Franklin,000296,Community School,Open,K-5,
826,A+ Arts Academy,REAL PI,44.263,1 Star,Franklin,000556,Community School,Open,K-8,
841,"Valor Academy, Inc.",REAL PI,41.419,1 Star,Franklin,019212,Community School,Open,4-8,
843,The Bessie Sherrod Price Preparatory Academy,REAL PI,40.614,1 Star,Franklin,011439,Community School,Open,K-8,
845,Summit Academy Middle School - Columbus,REAL PI,39.765,1 Star,Franklin,000610,Community School,Open,6-8,
847,Westwood Preparatory Academy,1A,39.256,NR,Franklin,015741,Community School,Open,K-12,
853,North Columbus Preparatory Academy,REAL PI,37.117,1 Star,Franklin,017538,Community School,Open,K-8,
855,Bridge Gate Community School,REAL PI,36.146,1 Star,Franklin,015710,Community School,Open,K-12,
859,East Bridge Academy of Excellence,REAL PI,25,1 Star,Franklin,000938,Community School,Open,K-8,
77,Archbold-Area Local,REAL PI,97.811,5 Star,Fulton,047043,Public District,Open,K-12,
85,Pettisville Local,REAL PI,97.49,5 Star,Fulton,047076,Public District,Open,K-12,
114,Evergreen Local,REAL PI,95.055,4 Star,Fulton,047050,Public District,Open,K-12,
126,Pike-Delta-York Local,REAL PI,94.299,4 Star,Fulton,047084,Public District,Open,K-12,
152,Swanton Local,REAL PI,93.26,4 Star,Fulton,047092,Public District,Open,K-12,
206,Wauseon Exempted Village,REAL PI,90.286,4 Star,Fulton,045641,Public District,Open,K-12,
453,Fayette Local,REAL PI,79.842,3 Star,Fulton,047068,Public District,Open,K-12,
551,Gallia County Local,REAL PI,74.268,2 Star,Gallia,065680,Public District,Open,K-12,
558,Gallipolis City,REAL PI,73.477,2 Star,Gallia,044032,Public District,Open,K-12,
10,West Geauga Local,REAL PI,106.667,5 Star,Geauga,047225,Public District,Open,K-12,
28,Kenston Local,REAL PI,103.078,5 Star,Geauga,047191,Public District,Open,K-12,
70,Chardon Local,REAL PI,98.17,5 Star,Geauga,047183,Public District,Open,K-12,
378,Cardinal Local,REAL PI,83.248,3 Star,Geauga,047175,Public District,Open,K-12,
384,Berkshire Local,REAL PI,82.795,3 Star,Geauga,047167,Public District,Open,K-12,
44,Bellbrook-Sugarcreek Local,REAL PI,100.919,5 Star,Greene,047274,Public District,Open,K-12,
90,Beavercreek City,REAL PI,97.135,5 Star,Greene,047241,Public District,Open,K-12,
104,Cedar Cliff Local,REAL PI,95.691,4 Star,Greene,047258,Public District,Open,K-12,
275,Yellow Springs Exempted Village,REAL PI,87.307,4 Star,Greene,045674,Public District,Open,K-12,
287,Greeneview Local,REAL PI,86.83,4 Star,Greene,047266,Public District,Open,K-12,
505,Xenia Community City,REAL PI,77.405,3 Star,Greene,045153,Public District,Open,K-12,
518,Fairborn City,REAL PI,76.279,3 Star,Greene,043968,Public District,Open,K-12,
805,Summit Academy Community School Alternative Learners -Xenia,REAL PI,46.812,1 Star,Greene,132761,Community School,Open,K-12,
489,East Guernsey Local,REAL PI,78.107,3 Star,Guernsey,069682,Public District,Open,K-12,
530,Rolling Hills Local,REAL PI,75.68,3 Star,Guernsey,047308,Public District,Open,K-12,
610,Cambridge City,REAL PI,68.19,2 Star,Guernsey,043695,Public District,Open,K-12,
4,Mariemont City,REAL PI,107.904,5 Star,Hamilton,044313,Public District,Open,K-12,
12,Madeira City,REAL PI,105.935,5 Star,Hamilton,044289,Public District,Open,K-12,
20,Indian Hill Exempted Village,REAL PI,104.311,5 Star,Hamilton,045435,Public District,Open,K-12,
22,Sycamore Community City,REAL PI,103.951,5 Star,Hamilton,044867,Public District,Open,K-12,
27,Wyoming City,REAL PI,103.303,5 Star,Hamilton,045146,Public District,Open,K-12,
52,Forest Hills Local,REAL PI,99.965,5 Star,Hamilton,047340,Public District,Open,K-12,
59,Loveland City,REAL PI,99.428,5 Star,Hamilton,044271,Public District,Open,K-12,
202,Three Rivers Local,REAL PI,90.457,4 Star,Hamilton,047399,Public District,Open,K-12,
211,Oak Hills Local,REAL PI,90.227,4 Star,Hamilton,047373,Public District,Open,K-12,
301,Southwest Local,REAL PI,86.111,4 Star,Hamilton,047381,Public District,Open,K-12,
358,T.C.P. World Academy,REAL PI,83.924,3 Star,Hamilton,133330,Community School,Open,K-8,
436,Deer Park Community City,REAL PI,80.527,3 Star,Hamilton,043851,Public District,Open,K-12,
503,Reading Community City,REAL PI,77.537,3 Star,Hamilton,044693,Public District,Open,K-12,
517,Norwood City,REAL PI,76.34,3 Star,Hamilton,044578,Public District,Open,K-12,
546,Princeton City,REAL PI,74.538,2 Star,Hamilton,044677,Public District,Open,K-12,
560,St Bernard-Elmwood Place City,REAL PI,73.319,2 Star,Hamilton,044719,Public District,Open,K-12,
574,Northwest Local,REAL PI,71.922,2 Star,Hamilton,047365,Public District,Open,K-12,
592,Hamilton Cnty Math & Science,REAL PI,69.478,2 Star,Hamilton,143602,Community School,Open,"P,K-8",
616,Finneytown Local,REAL PI,67.214,2 Star,Hamilton,047332,Public District,Open,K-12,
661,Alliance Academy of Cincinnati,REAL PI,62.53,2 Star,Hamilton,000139,Community School,Open,K-8,
671,Cincinnati College Preparatory Academy,REAL PI,61.174,2 Star,Hamilton,133512,Community School,Open,K-12,
681,Cincinnati Public Schools,REAL PI,60.158,2 Star,Hamilton,043752,Public District,Open,K-12,
695,Winton Woods City,REAL PI,58.989,2 Star,Hamilton,044081,Public District,Open,K-12,
709,ReGeneration Bond Hill,REAL PI,57.097,2 Star,Hamilton,017490,Community School,Open,K-4,
714,Mt. Healthy Preparatory and Fitness Academy,REAL PI,56.653,2 Star,Hamilton,000953,Community School,Open,"K,1-8,SN",
744,North College Hill City,REAL PI,53.576,2 Star,Hamilton,044511,Public District,Open,K-12,
757,Mt Healthy City,REAL PI,52.576,1 Star,Hamilton,044412,Public District,Open,K-12,
768,Mount Auburn Preparatory Academy,REAL PI,51.193,1 Star,Hamilton,017274,Community School,Open,K-12,
773,Dublin Preparatory Academy dba Northside Preparatory Academy,REAL PI,50.455,1 Star,Hamilton,019227,Community School,Open,K-8,
785,Orion Academy,REAL PI,48.905,1 Star,Hamilton,000559,Community School,Open,K-8,
791,Lockland Local,REAL PI,48.313,1 Star,Hamilton,044230,Public District,Open,K-12,
792,Riverside Academy,REAL PI,48.138,1 Star,Hamilton,133678,Community School,Open,K-12,
802,Horizon Science Academy-Cincinnati,REAL PI,47,1 Star,Hamilton,000804,Community School,Open,K-8,
817,Summit Academy Transition High School-Cincinnati,REAL PI,45.341,1 Star,Hamilton,000608,Community School,Open,8-12,
837,Cincinnati Technology Academy,REAL PI,42.372,1 Star,Hamilton,013864,Community School,Open,K-12,
842,Phoenix Community Learning Ctr,REAL PI,40.725,1 Star,Hamilton,133504,Community School,Open,K-8,
846,Summit Academy Community School - Cincinnati,REAL PI,39.549,1 Star,Hamilton,000306,Community School,Open,K-8,
852,Cincinnati Achievement Academy,REAL PI,37.373,1 Star,Hamilton,016850,Community School,Open,K-8,
854,Elevated Excellence Academy,REAL PI,36.398,1 Star,Hamilton,000576,Community School,Open,K-8,
858,Dampe Community School,REAL PI,30.192,1 Star,Hamilton,017212,Community School,Open,K-8,
NC,Citizens of the World Charter Schools - Cincinnati,UNRANKED,NC,NR,Hamilton,019452,Community School,Open,K-6,
51,Liberty-Benton Local,REAL PI,99.979,5 Star,Hancock,047449,Public District,Open,K-12,
133,Van Buren Local,REAL PI,93.892,4 Star,Hancock,047464,Public District,Open,K-12,
158,Arcadia Local,REAL PI,92.834,4 Star,Hancock,047415,Public District,Open,K-12,
163,Arlington Local,REAL PI,92.404,4 Star,Hancock,047423,Public District,Open,K-12,
314,McComb Local,REAL PI,85.665,3 Star,Hancock,047456,Public District,Open,K-12,
338,Vanlue Local,REAL PI,84.606,3 Star,Hancock,047472,Public District,Open,K-12,
395,Findlay City,REAL PI,82.286,3 Star,Hancock,043984,Public District,Open,K-12,
428,Cory-Rawson Local,REAL PI,80.801,3 Star,Hancock,047431,Public District,Open,K-12,
440,Riverdale Local,REAL PI,80.484,3 Star,Hancock,047514,Public District,Open,K-12,
192,Ada Exempted Village,REAL PI,91.016,4 Star,Hardin,045187,Public District,Open,K-12,
260,Hardin Northern Local,REAL PI,88.063,4 Star,Hardin,047498,Public District,Open,K-12,
429,Ridgemont Local,REAL PI,80.797,3 Star,Hardin,047506,Public District,Open,K-12,
541,Kenton City,REAL PI,75.075,3 Star,Hardin,044172,Public District,Open,K-12,
555,Upper Scioto Valley Local,REAL PI,73.665,2 Star,Hardin,047522,Public District,Open,K-12,
547,Conotton Valley Union Local,REAL PI,74.471,2 Star,Harrison,047548,Public District,Open,K-12,
565,Harrison Hills City,REAL PI,73.005,2 Star,Harrison,045245,Public District,Open,K-12,
651,Lakeland Academy Community School,REAL PI,63.723,2 Star,Harrison,011511,Community School,Open,"K-12,P",
130,Liberty Center Local,REAL PI,94.083,4 Star,Henry,047589,Public District,Open,K-12,
141,Patrick Henry Local,REAL PI,93.724,4 Star,Henry,047597,Public District,Open,K-12,
174,Holgate Local,REAL PI,91.856,4 Star,Henry,047571,Public District,Open,K-12,
175,Napoleon Area City,REAL PI,91.764,4 Star,Henry,044438,Public District,Open,K-12,
149,Lynchburg-Clay Local,REAL PI,93.39,4 Star,Highland,047639,Public District,Open,K-12,
177,Fairfield Local,REAL PI,91.627,4 Star,Highland,047621,Public District,Open,K-12,
256,Hillsboro City,REAL PI,88.324,4 Star,Highland,044123,Public District,Open,K-12,
288,Bright Local,REAL PI,86.732,4 Star,Highland,047613,Public District,Open,K-12,
417,Greenfield Exempted Village,REAL PI,81.361,3 Star,Highland,045401,Public District,Open,K-12,
312,Logan-Hocking Local,REAL PI,85.775,4 Star,Hocking,044248,Public District,Open,K-12,
81,East Holmes Local,REAL PI,97.701,5 Star,Holmes,047688,Public District,Open,K-12,
271,West Holmes Local,REAL PI,87.544,4 Star,Holmes,047696,Public District,Open,K-12,
242,Bellevue City,REAL PI,88.74,4 Star,Huron,043596,Public District,Open,K-12,
309,Norwalk City,REAL PI,85.805,4 Star,Huron,044560,Public District,Open,K-12,
327,South Central Local,REAL PI,85.07,3 Star,Huron,047738,Public District,Open,K-12,
392,Western Reserve Local,REAL PI,82.343,3 Star,Huron,047746,Public District,Open,K-12,
471,New London Local,REAL PI,79.048,3 Star,Huron,047720,Public District,Open,K-12,
478,Monroeville Local,REAL PI,78.685,3 Star,Huron,047712,Public District,Open,K-12,
552,Willard City,REAL PI,73.971,2 Star,Huron,045096,Public District,Open,K-12,
250,Jackson City,REAL PI,88.422,4 Star,Jackson,044156,Public District,Open,K-12,
305,Oak Hill Union Local,REAL PI,86.044,4 Star,Jackson,047761,Public District,Open,K-12,
561,Wellston City,REAL PI,73.267,2 Star,Jackson,045021,Public District,Open,K-12,
58,Steubenville City,REAL PI,99.446,5 Star,Jefferson,044826,Public District,Open,K-12,
396,Toronto City,REAL PI,82.28,3 Star,Jefferson,044917,Public District,Open,K-12,
426,Edison Local,REAL PI,80.947,3 Star,Jefferson,047795,Public District,Open,K-12,
515,Buckeye Local,REAL PI,76.501,3 Star,Jefferson,047787,Public District,Open,K-12,
538,Indian Creek Local,REAL PI,75.327,3 Star,Jefferson,047803,Public District,Open,K-12,
155,Fredericktown Local,REAL PI,93.069,4 Star,Knox,047852,Public District,Open,K-12,
239,Centerburg Local,REAL PI,88.939,4 Star,Knox,047829,Public District,Open,K-12,
259,Mount Vernon City,REAL PI,88.123,4 Star,Knox,044420,Public District,Open,K-12,
375,Danville Local,REAL PI,83.389,3 Star,Knox,047837,Public District,Open,K-12,
442,East Knox Local,REAL PI,80.31,3 Star,Knox,047845,Public District,Open,K-12,
79,iSTEM Geauga Early College High School,REAL PI,97.723,4 Star,Lake,015329,STEM,Open,6-12,
84,Kirtland Local,REAL PI,97.546,5 Star,Lake,047878,Public District,Open,K-12,
213,Perry Local,REAL PI,90.216,4 Star,Lake,047902,Public District,Open,K-12,
245,Mentor Exempted Village,REAL PI,88.632,4 Star,Lake,045492,Public District,Open,K-12,
289,Riverside Local,REAL PI,86.642,4 Star,Lake,047894,Public District,Open,K-12,
382,Madison Local,REAL PI,82.878,3 Star,Lake,047886,Public District,Open,K-12,
456,Wickliffe City,REAL PI,79.756,3 Star,Lake,045088,Public District,Open,K-12,
487,Willoughby-Eastlake City,REAL PI,78.239,3 Star,Lake,045104,Public District,Open,K-12,
637,Painesville City Local,REAL PI,65.107,2 Star,Lake,044628,Public District,Open,K-12,
675,Fairport Harbor Exempted Village,REAL PI,60.832,2 Star,Lake,045369,Public District,Open,K-12,
808,Summit Academy Community School - Painesville,REAL PI,46.098,1 Star,Lake,000629,Community School,Open,K-8,
120,Tri-State STEM+M Early College High School,REAL PI,94.8,4 Star,Lawrence,015344,STEM,Open,9-12,
322,Fairland Local,REAL PI,85.24,3 Star,Lawrence,047936,Public District,Open,K-12,
418,Dawson-Bryant Local,REAL PI,81.269,3 Star,Lawrence,047928,Public District,Open,K-12,
427,Symmes Valley Local,REAL PI,80.926,3 Star,Lawrence,047969,Public District,Open,K-12,
461,Ironton City School District,REAL PI,79.467,3 Star,Lawrence,044149,Public District,Open,K-12,
462,Chesapeake Union Exempted Village,REAL PI,79.344,3 Star,Lawrence,045294,Public District,Open,K-12,
509,Rock Hill Local,REAL PI,76.953,3 Star,Lawrence,047944,Public District,Open,K-12,
521,South Point Local,REAL PI,76.039,3 Star,Lawrence,047951,Public District,Open,K-12,
13,Granville Exempted Village,REAL PI,105.574,5 Star,Licking,045393,Public District,Open,K-12,
168,Johnstown-Monroe Local,REAL PI,92.181,4 Star,Licking,047985,Public District,Open,K-12,
223,Heath City,REAL PI,89.794,4 Star,Licking,044115,Public District,Open,K-12,
274,Par Excellence Academy,REAL PI,87.345,4 Star,Licking,000941,Community School,Open,K-6,
279,Southwest Licking Local,REAL PI,87.122,4 Star,Licking,048041,Public District,Open,K-12,
357,Northridge Local,REAL PI,83.977,3 Star,Licking,048033,Public District,Open,K-12,
403,Lakewood Local,REAL PI,81.936,3 Star,Licking,047993,Public District,Open,K-12,
412,Licking Heights Local,REAL PI,81.578,3 Star,Licking,048009,Public District,Open,K-12,
439,Licking Valley Local,REAL PI,80.485,3 Star,Licking,048017,Public District,Open,K-12,
443,North Fork Local,REAL PI,80.206,3 Star,Licking,048025,Public District,Open,K-12,
488,Newark City,REAL PI,78.115,3 Star,Licking,044453,Public District,Open,K-12,
187,Benjamin Logan Local,REAL PI,91.184,4 Star,Logan,048074,Public District,Open,K-12,
194,Indian Lake Local,REAL PI,90.919,4 Star,Logan,048082,Public District,Open,K-12,
291,Riverside Local,REAL PI,86.638,4 Star,Logan,048090,Public District,Open,K-12,
342,Bellefontaine City,REAL PI,84.484,3 Star,Logan,043588,Public District,Open,K-12,
42,Avon Local,REAL PI,101.123,5 Star,Lorain,048116,Public District,Open,K-12,
53,Avon Lake City,REAL PI,99.577,5 Star,Lorain,048124,Public District,Open,K-12,
128,Columbia Local,REAL PI,94.163,4 Star,Lorain,048140,Public District,Open,K-12,
193,Amherst Exempted Village,REAL PI,90.975,4 Star,Lorain,045195,Public District,Open,K-12,
224,Firelands Local,REAL PI,89.758,4 Star,Lorain,048157,Public District,Open,K-12,
230,Keystone Local,REAL PI,89.451,4 Star,Lorain,048165,Public District,Open,K-12,
241,North Ridgeville City,REAL PI,88.778,4 Star,Lorain,044537,Public District,Open,K-12,
258,Midview Local,REAL PI,88.151,4 Star,Lorain,048173,Public District,Open,K-12,
346,Sheffield-Sheffield Lake City,REAL PI,84.31,3 Star,Lorain,044768,Public District,Open,K-12,
438,Oberlin City Schools,REAL PI,80.507,3 Star,Lorain,044594,Public District,Open,K-12,
447,Wellington Exempted Village,REAL PI,79.987,3 Star,Lorain,045658,Public District,Open,K-12,
573,Constellation Schools: Elyria Community,REAL PI,71.985,2 Star,Lorain,132969,Community School,Open,K-8,
588,Clearview Local,REAL PI,70.372,2 Star,Lorain,048132,Public District,Open,K-12,
636,Elyria City Schools,REAL PI,65.191,2 Star,Lorain,043943,Public District,Open,K-12,
642,Horizon Science Academy Lorain,REAL PI,64.561,2 Star,Lorain,011533,Community School,Open,K-12,
652,Constellation Schools: Lorain Community Elementary,REAL PI,63.692,2 Star,Lorain,132951,Community School,Open,K-4,
724,Constellation Schools: Lorain Community Middle,REAL PI,55.869,2 Star,Lorain,000320,Community School,Open,5-8,
743,Lorain Preparatory Academy,REAL PI,53.724,1 Star,Lorain,008000,Community School,Open,K-8,
749,Lorain City,REAL PI,53.32,1 Star,Lorain,044263,Public District,Open,K-12,
763,Summit Academy School - Lorain,REAL PI,51.783,1 Star,Lorain,000609,Community School,Open,6-12,
803,Lorain Bilingual Preparatory Academy,REAL PI,46.959,1 Star,Lorain,017270,Community School,Open,K-8,
840,Summit Academy Community School Alternative Learners-Lorain,REAL PI,41.453,1 Star,Lorain,133322,Community School,Open,K-5,
14,Ottawa Hills Local,REAL PI,105.263,5 Star,Lucas,048215,Public District,Open,K-12,
56,Anthony Wayne Local,REAL PI,99.482,5 Star,Lucas,048207,Public District,Open,K-12,
156,Sylvania Schools,REAL PI,92.956,4 Star,Lucas,044875,Public District,Open,K-12,
225,Maumee City,REAL PI,89.722,4 Star,Lucas,044362,Public District,Open,K-12,
380,Oregon City,REAL PI,83.082,3 Star,Lucas,044602,Public District,Open,K-12,
466,Springfield Local,REAL PI,79.247,3 Star,Lucas,048223,Public District,Open,K-12,
490,Toledo School For The Arts,REAL PI,78.073,3 Star,Lucas,133942,Community School,Open,6-12,
514,Northwest Ohio Classical Academy,REAL PI,76.749,3 Star,Lucas,017498,Community School,Open,K-11,
556,Washington Local,REAL PI,73.655,2 Star,Lucas,048231,Public District,Open,K-12,
593,Horizon Science Academy-Springfield,REAL PI,69.472,2 Star,Lucas,000825,Community School,Open,K-8,
594,Bennett Venture Academy,REAL PI,69.426,2 Star,Lucas,000843,Community School,Open,K-8,
617,Wildwood Environmental Academy,REAL PI,66.961,2 Star,Lucas,000222,Community School,Open,K-12,
629,Western Toledo Preparatory Academy,REAL PI,66.158,2 Star,Lucas,019511,Community School,Open,K-8,
633,Horizon Science Academy Toledo,REAL PI,65.554,2 Star,Lucas,000338,Community School,Open,K-12,
655,L. Hollingworth School for Talented and Gifted,REAL PI,62.903,2 Star,Lucas,010205,Community School,Open,K-12,
656,Discovery Academy,REAL PI,62.799,2 Star,Lucas,014188,Community School,Open,K-6,
657,Toledo Preparatory and Fitness Academy,REAL PI,62.692,2 Star,Lucas,000951,Community School,Open,K-8,
664,Ohio Virtual Academy,REAL PI,62.382,2 Star,Lucas,142950,Community School,Open,K-12,
670,Winterfield Venture Academy,REAL PI,61.254,2 Star,Lucas,000546,Community School,Open,K-8,
740,Toledo City,REAL PI,53.819,2 Star,Lucas,044909,Public District,Open,K-12,
741,Hope Learning Academy of Toledo,REAL PI,53.78,1 Star,Lucas,014091,Community School,Open,K-12,
742,Central Academy of Ohio,REAL PI,53.774,1 Star,Lucas,009164,Community School,Open,K-12,
772,iLEAD Spring Meadows,REAL PI,50.756,1 Star,Lucas,015736,Community School,Open,K-8,
795,Rise & Shine Academy,REAL PI,47.986,1 Star,Lucas,013999,Community School,Open,K-7,
804,Ann Jerkins-Harris Academy of Excellence,REAL PI,46.932,1 Star,Lucas,013195,Community School,Open,K-6,
813,The Autism Academy Of Learning,1A,45.714,NR,Lucas,143297,Community School,Open,"K,1-12,UNG",
821,Explorers Academy of Science and Technology,REAL PI,44.933,1 Star,Lucas,019474,Community School,Open,K-6,
823,Kenmore Preparatory Academy dba Toledo Preparatory Academy,REAL PI,44.745,1 Star,Lucas,017536,Community School,Open,K-8,
824,"Maritime Academy of Toledo, The",REAL PI,44.645,1 Star,Lucas,000770,Community School,Open,5-12,
833,Imagine Environmental Science Academy,REAL PI,42.752,1 Star,Lucas,013173,Community School,Open,K-12,
835,SunBridge Schools,REAL PI,42.638,1 Star,Lucas,013175,Community School,Open,K-12,
836,Summit Academy - Toledo,REAL PI,42.563,1 Star,Lucas,000301,Community School,Open,K-12,
848,Madison Avenue School of Arts,REAL PI,38.872,1 Star,Lucas,009955,Community School,Open,K-6,
857,Autism Model School,REAL PI,31.842,1 Star,Lucas,134122,Community School,Open,"K,1-12,UNG,SN",
164,Jonathan Alder Local,REAL PI,92.387,4 Star,Madison,048264,Public District,Open,K-12,
262,Madison-Plains Local,REAL PI,87.959,4 Star,Madison,048272,Public District,Open,K-12,
393,Jefferson Local,REAL PI,82.32,3 Star,Madison,048256,Public District,Open,K-12,
510,London City,REAL PI,76.911,3 Star,Madison,044255,Public District,Open,K-12,
31,Canfield Local,REAL PI,102.835,5 Star,Mahoning,048314,Public District,Open,K-12,
43,South Range Local,REAL PI,101.046,5 Star,Mahoning,048363,Public District,Open,K-12,
97,Western Reserve Local,REAL PI,96.241,4 Star,Mahoning,048397,Public District,Open,K-12,
117,Poland Local,REAL PI,94.923,4 Star,Mahoning,048348,Public District,Open,K-12,
143,Springfield Local,REAL PI,93.647,4 Star,Mahoning,048371,Public District,Open,K-12,
157,Jackson-Milton Local,REAL PI,92.894,4 Star,Mahoning,048322,Public District,Open,K-12,
183,West Branch Local,REAL PI,91.232,4 Star,Mahoning,048389,Public District,Open,K-12,
201,Boardman Local,REAL PI,90.628,4 Star,Mahoning,048306,Public District,Open,K-12,
209,Austintown Local Schools,REAL PI,90.258,4 Star,Mahoning,048298,Public District,Open,K-12,
402,Lowellville Local,REAL PI,81.937,3 Star,Mahoning,048330,Public District,Open,K-12,
481,Struthers City,REAL PI,78.616,3 Star,Mahoning,044859,Public District,Open,K-12,
493,Sebring Local,REAL PI,77.946,3 Star,Mahoning,048355,Public District,Open,K-12,
500,Valley STEM+ME2 Academy,REAL PI,77.637,3 Star,Mahoning,014943,STEM,Open,9-10,
606,Campbell City,REAL PI,68.54,2 Star,Mahoning,043703,Public District,Open,K-12,
632,Horizon Science Academy Youngstown,REAL PI,65.704,2 Star,Mahoning,011986,Community School,Open,K-12,
687,Youngstown Community School,REAL PI,59.647,2 Star,Mahoning,134072,Community School,Open,K-8,
722,Stambaugh Charter Academy,REAL PI,56.145,2 Star,Mahoning,000855,Community School,Open,K-8,
730,Southside Academy,REAL PI,55.258,2 Star,Mahoning,012105,Community School,Open,K-12,
736,Youngstown Academy of Excellence,REAL PI,54.362,1 Star,Mahoning,007984,Community School,Open,K-8,
793,Youngstown City,REAL PI,48.122,1 Star,Mahoning,045161,Public District,Open,K-12,
811,Summit Academy-Youngstown,REAL PI,45.86,1 Star,Mahoning,000623,Community School,Open,K-7,
844,Summit Academy Secondary - Youngstown,REAL PI,40.054,1 Star,Mahoning,000303,Community School,Open,8-12,
856,Youngstown Preparatory Academy,REAL PI,34.444,1 Star,Mahoning,019450,Community School,Open,K-8,
334,River Valley Local,REAL PI,84.742,3 Star,Marion,048447,Public District,Open,K-12,
388,Pleasant Local,REAL PI,82.686,3 Star,Marion,048421,Public District,Open,K-12,
410,Elgin Local,REAL PI,81.605,3 Star,Marion,048413,Public District,Open,K-12,
502,Ridgedale Local,REAL PI,77.547,3 Star,Marion,048439,Public District,Open,K-12,
